Actual,Predicted
-17970.350263657,-17968.612520729017
-14959.855785392,-14960.778976832342
-20945.167072646,-20946.110635195684
-14959.601911737,-14960.389965926122
-16915.77460799,-16918.222332154226
-19052.940487197,-19053.34848073573
-20945.369145863,-20946.304474268865
-16915.636070399,-16918.0256950006
-14896.324034821,-14896.774751578283
-16965.277003458,-16963.664332304907
-14959.826357623,-14960.424387846899
-18988.843885378,-18988.84752265067
-20738.872703034,-20736.87446395011
-17788.754362888,-17789.373027001333
-18715.900129519,-18713.558050428343
-17097.409412082,-17095.70732060523
-21010.99088978,-21012.832390223455
-17788.702908308,-17790.347662363958
-21009.055508071,-21011.0164093122
-19053.325138839,-19052.128739629698
-21010.698861661,-21012.705340300512
-21010.329591534,-21012.331850443792
-20945.906332369,-20947.040934477758
-19053.223826988,-19052.95719495864
-16916.024148502,-16918.619949255895
-19862.902642764,-19862.52018133254
-22966.78160138,-22970.34956637473
-18925.827090144,-18926.33801046462
-14959.713392217,-14959.790828619909
-18989.742755745,-18990.47089019866
-18989.597406052,-18989.067738328886
-19864.940786148,-19864.254351054144
-19864.832151164,-19864.48554197402
-19860.527176253,-19861.28443900199
-16915.136216846,-16917.440216694784
-17033.944018959,-17032.098520432424
-19052.927555251,-19052.168485794973
-16917.386667382,-16919.793668662023
-18718.989872422,-18716.574109946203
-16917.169198499,-16919.536663208914
-21009.434176199,-21010.597007189703
-17787.569418801,-17789.461460982275
-20945.483920011,-20946.514108572912
-18926.424653849,-18927.200219605875
-16915.870909135,-16917.2578884706
-14959.625568512,-14960.728600893926
-16915.782013029,-16917.52342144103
-16915.802818321,-16917.600141201925
-21009.247879336,-21010.546186839056
-16915.29105597,-16917.37444225402
-16916.813465772,-16919.967780505132
-16906.745888328,-16903.882387791586
-16916.830945831,-16920.394173775625
-19053.226226489,-19052.281639610243
-18717.61690899,-18715.887745772314
-16915.250533842,-16917.04068771453
-17788.322014831,-17789.83934799285
-16915.32191533,-16918.09646383376
-17844.426410779,-17842.085442338896
-16915.485552173,-16918.181862507772
-19055.506143706,-19055.19574764819
-18718.177323419,-18715.726344381284
-19865.157746994,-19864.186969195318
-18989.558617834,-18989.259828840208
-16915.198554626,-16917.88326994033
-17789.318094659,-17789.929768119764
-17842.360406187,-17841.167008434248
-16917.162182856,-16920.27136293502
-18717.905137853,-18715.668000613165
-19053.614585685,-19053.423143182707
-19055.146691452,-19055.12104073615
-20945.884160521,-20946.395347987127
-20945.875490697,-20946.786924754095
-21009.832005235,-21011.06455651374
-17097.379185931,-17095.32326475234
-18921.459462073,-18921.340007756662
-18717.363426363,-18715.603106473398
-14961.237359599,-14962.24592343421
-18921.700589091,-18921.431987558317
-21009.339107187,-21010.869542036962
-17788.470573565,-17789.475009952497
-16915.640299051,-16918.036251698446
-19864.390489189,-19863.485528145742
-20733.538748896,-20733.435230170202
-18926.28643191,-18925.358407352876
-16915.168663719,-16917.544337664556
-19860.191062673,-19859.45906058402
-19926.835164194,-19925.80697551818
-17097.441287516,-17096.249740277242
-19863.875594534,-19862.731551323843
-20947.33498502,-20948.490651999426
-19052.862503406,-19053.202465687704
-17097.4561746,-17095.831994210195
-18991.357543351,-18990.497905527067
-19926.758561926,-19924.87433782668
-21011.266318129,-21012.96565857978
-14959.604033138,-14959.832549010229
-16915.899416886,-16918.49535146804
-18793.872426113,-18793.14589468093
-16915.881102526,-16918.58950701804
