Actual,Predicted
-17970.350263657,-17984.488
-14959.855785392,-14961.601
-20945.167072646,-20951.207
-14959.601911737,-14958.756
-16915.77460799,-16917.848
-19052.940487197,-19051.258
-20945.369145863,-20949.666
-16915.636070399,-16920.582
-14896.324034821,-14896.389
-16965.277003458,-16963.053
-14959.826357623,-14962.636
-18988.843885378,-18991.303
-20738.872703034,-20734.729
-17788.754362888,-17788.627
-18715.900129519,-18715.72
-17097.409412082,-17097.254
-21010.99088978,-21015.092
-17788.702908308,-17788.53
-21009.055508071,-21010.305
-19053.325138839,-19050.41
-21010.698861661,-21017.264
-21010.329591534,-21015.096
-20945.906332369,-20949.34
-19053.223826988,-19050.553
-16916.024148502,-16919.006
-19862.902642764,-19861.31
-22966.78160138,-22970.793
-18925.827090144,-18928.65
-14959.713392217,-14963.3955
-18989.742755745,-18987.543
-18989.597406052,-18989.844
-19864.940786148,-19868.365
-19864.832151164,-19858.887
-19860.527176253,-19861.871
-16915.136216846,-16916.35
-17033.944018959,-17031.852
-19052.927555251,-19047.648
-16917.386667382,-16922.742
-18718.989872422,-18721.432
-16917.169198499,-16918.955
-21009.434176199,-21006.959
-17787.569418801,-17788.145
-20945.483920011,-20956.092
-18926.424653849,-18929.256
-16915.870909135,-16917.814
-14959.625568512,-14964.687
-16915.782013029,-16916.047
-16915.802818321,-16918.01
-21009.247879336,-21007.27
-16915.29105597,-16916.959
-16916.813465772,-16916.953
-16906.745888328,-16905.078
-16916.830945831,-16919.514
-19053.226226489,-19047.414
-18717.61690899,-18715.184
-16915.250533842,-16916.885
-17788.322014831,-17789.477
-16915.32191533,-16916.426
-17844.426410779,-17840.578
-16915.485552173,-16917.365
-19055.506143706,-19054.266
-18718.177323419,-18716.898
-19865.157746994,-19868.076
-18989.558617834,-18987.486
-16915.198554626,-16918.398
-17789.318094659,-17789.994
-17842.360406187,-17838.984
-16917.162182856,-16919.412
-18717.905137853,-18716.582
-19053.614585685,-19051.666
-19055.146691452,-19051.312
-20945.884160521,-20955.45
-20945.875490697,-20952.63
-21009.832005235,-21011.809
-17097.379185931,-17094.809
-18921.459462073,-18922.266
-18717.363426363,-18715.725
-14961.237359599,-14963.695
-18921.700589091,-18920.896
-21009.339107187,-21008.938
-17788.470573565,-17789.217
-16915.640299051,-16918.35
-19864.390489189,-19866.863
-20733.538748896,-20732.576
-18926.28643191,-18926.783
-16915.168663719,-16918.146
-19860.191062673,-19858.916
-19926.835164194,-19924.797
-17097.441287516,-17094.059
-19863.875594534,-19862.941
-20947.33498502,-20950.146
-19052.862503406,-19049.936
-17097.4561746,-17096.475
-18991.357543351,-18989.633
-19926.758561926,-19918.258
-21011.266318129,-21015.861
-14959.604033138,-14959.206
-16915.899416886,-16918.086
-18793.872426113,-18813.65
-16915.881102526,-16917.328
